Type,Name,Stmts,Miss,Branch,BrPart,Cover
,Problem10_GeneratedSolution.py,18,0,10,0,1
,Problem11_GeneratedSolution.py,21,0,14,0,1
,Problem12_GeneratedSolution.py,17,0,4,0,1
,Problem13_GeneratedSolution.py,19,0,4,0,1
,Problem14_GeneratedSolution.py,35,0,20,0,1
,Problem15_GeneratedSolution.py,19,1,8,1,0.93
,Problem16_GeneratedSolution.py,6,0,4,0,1
,Problem17_GeneratedSolution.py,14,0,6,0,1
,Problem18_GeneratedSolution.py,12,0,10,0,1
,Problem19_GeneratedSolution.py,10,0,4,0,1
,Problem1_GeneratedSolution.py,11,0,4,0,1
,Problem20_GeneratedSolution.py,23,0,16,0,1
,Problem21_GeneratedSolution.py,15,0,8,0,1
,Problem22_GeneratedSolution.py,12,0,8,0,1
,Problem23_GeneratedSolution.py,19,0,6,0,1
,Problem24_GeneratedSolution.py,11,0,6,0,1
,Problem25_GeneratedSolution.py,18,0,8,0,1
,Problem26_GeneratedSolution.py,23,0,18,1,0.98
,Problem27_GeneratedSolution.py,14,0,10,0,1
,Problem28_GeneratedSolution.py,9,0,8,0,1
,Problem29_GeneratedSolution.py,7,0,6,0,1
,Problem2_GeneratedSolution.py,17,0,8,0,1
,Problem30_GeneratedSolution.py,15,0,10,0,1
,Problem31_GeneratedSolution.py,24,0,16,0,1
,Problem32_GeneratedSolution.py,30,0,24,0,1
,Problem33_GeneratedSolution.py,18,0,10,0,1
,Problem34_GeneratedSolution.py,6,1,4,1,0.8
,Problem35_GeneratedSolution.py,12,0,10,0,1
,Problem36_GeneratedSolution.py,13,0,4,0,1
,Problem37_GeneratedSolution.py,14,0,10,0,1
,Problem38_GeneratedSolution.py,9,0,8,0,1
,Problem39_GeneratedSolution.py,39,0,32,0,1
,Problem3_GeneratedSolution.py,11,0,4,0,1
,Problem40_GeneratedSolution.py,37,0,14,0,1
,Problem41_GeneratedSolution.py,12,0,8,0,1
,Problem42_GeneratedSolution.py,18,0,16,0,1
,Problem43_GeneratedSolution.py,8,0,6,0,1
,Problem44_GeneratedSolution.py,10,0,12,0,1
,Problem45_GeneratedSolution.py,13,0,4,0,1
,Problem46_GeneratedSolution.py,9,0,6,0,1
,Problem47_GeneratedSolution.py,15,0,6,0,1
,Problem48_GeneratedSolution.py,9,0,6,0,1
,Problem49_GeneratedSolution.py,17,0,11,0,1
,Problem4_GeneratedSolution.py,13,0,14,0,1
,Problem50_GeneratedSolution.py,19,0,10,0,1
,Problem5_GeneratedSolution.py,14,0,14,0,1
,Problem6_GeneratedSolution.py,24,0,18,0,1
,Problem7_GeneratedSolution.py,18,0,4,0,1
,Problem8_GeneratedSolution.py,23,0,6,0,1
,Problem9_GeneratedSolution.py,10,0,8,0,1
,tests\test_Problem10_ChatGPT.py,6,0,0,0,1
NLP,tests\test_Problem10_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem11_ChatGPT.py,32,0,0,0,1
,tests\test_Problem11_GeneratedSolution.py,42,0,0,0,1
NLP,tests\test_Problem11_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem12_ChatGPT.py,43,0,10,1,0.98
,tests\test_Problem12_GeneratedSolution.py,65,0,0,0,1
NLP,tests\test_Problem12_NLP_To_Test.py,31,5,12,3,81.00%
,tests\test_Problem13_ChatGPT.py,27,1,10,1,0.95
,tests\test_Problem13_GeneratedSolution.py,39,0,0,0,1
NLP,tests\test_Problem13_NLP_To_Test.py,22,1,8,1,93.00%
,tests\test_Problem14_ChatGPT.py,5,0,0,0,1
,tests\test_Problem14_GeneratedSolution.py,42,0,0,0,1
NLP,tests\test_Problem14_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem15_ChatGPT.py,5,0,0,0,1
,tests\test_Problem15_GeneratedSolution.py,25,0,0,0,1
NLP,tests\test_Problem15_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem16_ChatGPT.py,22,0,0,0,1
,tests\test_Problem16_GeneratedSolution.py,14,0,0,0,1
NLP,tests\test_Problem16_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem17_ChatGPT.py,26,0,0,0,1
,tests\test_Problem17_GeneratedSolution.py,13,0,0,0,1
NLP,tests\test_Problem17_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem18_ChatGPT.py,19,0,0,0,1
,tests\test_Problem18_GeneratedSolution.py,96,0,0,0,1
NLP,tests\test_Problem18_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem19_ChatGPT.py,29,9,0,0,0.69
,tests\test_Problem19_GeneratedSolution.py,26,0,0,0,1
NLP,tests\test_Problem19_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem1_ChatGPT.py,9,0,0,0,1
,tests\test_Problem1_GeneratedSolution.py,5,0,0,0,1
NLP,tests\test_Problem1_NLP_To_Test.py,26,0,0,0,100.00%
,tests\test_Problem20_ChatGPT.py,20,1,2,1,0.91
,tests\test_Problem20_GeneratedSolution.py,45,0,0,0,1
NLP,tests\test_Problem20_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem21_ChatGPT.py,29,8,0,0,0.72
,tests\test_Problem21_GeneratedSolution.py,21,0,0,0,1
NLP,tests\test_Problem21_NLP_To_test.py,7,0,0,0,100.00%
,tests\test_Problem22_ChatGPT.py,20,0,0,0,1
,tests\test_Problem22_GeneratedSolution.py,25,0,0,0,1
NLP,tests\test_Problem22_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem23_ChatGPT.py,27,3,0,0,0.89
,tests\test_Problem23_GeneratedSolution.py,9,0,0,0,1
NLP,tests\test_Problem23_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem24_ChatGPT.py,29,8,0,0,0.72
,tests\test_Problem24_GeneratedSolution.py,31,0,0,0,1
NLP,tests\test_Problem24_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem25_ChatGPT.py,33,4,0,0,0.88
,tests\test_Problem25_GeneratedSolution.py,41,0,0,0,1
NLP,tests\test_Problem25_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem26_ChatGPT.py,23,3,0,0,0.87
,tests\test_Problem26_GeneratedSolution.py,24,0,0,0,1
NLP,tests\test_Problem26_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem27_ChatGPT.py,37,0,0,0,1
,tests\test_Problem27_GeneratedSolution.py,52,0,0,0,1
NLP,tests\test_Problem27_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem28_ChatGPT.py,42,0,0,0,1
,tests\test_Problem28_GeneratedSolution.py,70,0,0,0,1
NLP,tests\test_Problem28_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem29_ChatGPT.py,33,0,0,0,1
,tests\test_Problem29_GeneratedSolution.py,19,0,0,0,1
NLP,tests\test_Problem29_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem2_ChatGPT.py,5,0,0,0,1
,tests\test_Problem2_GeneratedSolution.py,36,0,0,0,1
NLP,tests\test_Problem2_NLP_To_Test.py,21,2,0,0,90.00%
,tests\test_Problem30_ChatGPT.py,34,0,0,0,1
,tests\test_Problem30_GeneratedSolution.py,33,0,0,0,1
NLP,tests\test_Problem30_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem31_ChatGPT.py,38,0,2,0,1
,tests\test_Problem31_GeneratedSolution.py,15,0,0,0,1
NLP,tests\test_Problem31_NLP_To_Test.py,8,0,4,0,100.00%
,tests\test_Problem32_ChatGPT.py,31,0,2,0,1
,tests\test_Problem32_GeneratedSolution.py,33,0,0,0,1
NLP,tests\test_Problem32_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem33_ChatGPT.py,20,0,0,0,1
,tests\test_Problem33_GeneratedSolution.py,46,0,0,0,1
NLP,tests\test_Problem33_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem34_ChatGPT.py,18,0,0,0,1
,tests\test_Problem34_GeneratedSolution.py,5,0,0,0,1
NLP,tests\test_Problem34_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem35_ChatGPT.py,18,0,0,0,1
,tests\test_Problem35_GeneratedSolution.py,20,0,0,0,1
NLP,tests\test_Problem35_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem36_ChatGPT.py,40,1,10,1,0.96
,tests\test_Problem36_GeneratedSolution.py,103,0,0,0,1
NLP,tests\test_Problem36_NLP_To_Test.py,35,1,16,2,94.00%
,tests\test_Problem37_ChatGPT.py,26,0,0,0,1
,tests\test_Problem37_GeneratedSolution.py,14,0,0,0,1
NLP,tests\test_Problem37_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem38_ChatGPT.py,16,0,0,0,1
,tests\test_Problem38_GeneratedSolution.py,22,0,0,0,1
NLP,tests\test_Problem38_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem39_ChatGPT.py,26,0,0,0,1
,tests\test_Problem39_GeneratedSolution.py,24,0,0,0,1
NLP,tests\test_Problem39_NLP_To_Test.py,6,0,0,0,100.00%
,tests\test_Problem3_ChatGPT.py,16,0,0,0,1
,tests\test_Problem3_GeneratedSolution.py,51,0,0,0,1
NLP,tests\test_Problem3_NLP_To_Test.py,18,0,0,0,100.00%
,tests\test_Problem40_ChatGPT.py,30,0,0,0,1
,tests\test_Problem40_GeneratedSolution.py,74,0,0,0,1
NLP,tests\test_Problem40_NLP_To_Test.py,38,23,2,0,38.00%
,tests\test_Problem41_ChatGPT.py,19,1,0,0,0.95
,tests\test_Problem41_GeneratedSolution.py,27,0,0,0,1
NLP,tests\test_Problem41_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem42_ChatGPT.py,32,8,0,0,0.75
,tests\test_Problem42_GeneratedSolution.py,41,0,0,0,1
NLP,tests\test_Problem42_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem43_ChatGPT.py,20,0,0,0,1
,tests\test_Problem43_GeneratedSolution.py,39,0,0,0,1
NLP,tests\test_Problem43_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem44_ChatGPT.py,40,12,2,0,0.71
,tests\test_Problem44_GeneratedSolution.py,17,0,0,0,1
NLP,tests\test_Problem44_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem45_ChatGPT.py,26,0,0,0,1
,tests\test_Problem45_GeneratedSolution.py,15,0,0,0,1
NLP,tests\test_Problem45_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem46_ChatGPT.py,23,4,0,0,0.83
,tests\test_Problem46_GeneratedSolution.py,31,0,0,0,1
NLP,tests\test_Problem46_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem47_ChatGPT.py,15,1,0,0,0.93
,tests\test_Problem47_GeneratedSolution.py,34,0,0,0,1
NLP,tests\test_Problem47_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem48_ChatGPT.py,21,4,0,0,0.81
,tests\test_Problem48_GeneratedSolution.py,14,0,0,0,1
NLP,tests\test_Problem48_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem49_ChatGPT.py,17,1,0,0,0.94
,tests\test_Problem49_GeneratedSolution.py,35,0,0,0,1
NLP,tests\test_Problem49_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem4_ChatGPT.py,25,0,0,0,1
,tests\test_Problem4_GeneratedSolution.py,19,0,0,0,1
NLP,tests\test_Problem4_NLP_To_test.py,5,0,0,0,100.00%
,tests\test_Problem50_ChatGPT.py,26,8,2,0,0.64
,tests\test_Problem50_GeneratedSolution.py,17,0,0,0,1
NLP,tests\test_Problem50_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem5_ChatGPT.py,0,0,0,0,1
,tests\test_Problem5_GeneratedSolution.py,59,0,0,0,1
NLP,tests\test_Problem5_NLP_To_Test.py,5,0,0,0,100.00%
,tests\test_Problem6_ChatGPT.py,13,0,0,0,1
,tests\test_Problem6_GeneratedSolution.py,50,0,0,0,1
NLP,tests\test_Problem6_NLP_To_Test.py,7,0,2,0,100.00%
,tests\test_Problem7_ChatGPT.py,23,0,4,0,1
,tests\test_Problem7_GeneratedSolution.py,113,0,0,0,1
NLP,tests\test_Problem7_NLP_To_Test.py,25,0,6,0,100.00%
,tests\test_Problem8_ChatGPT.py,45,0,4,0,1
,tests\test_Problem8_GeneratedSolution.py,53,0,0,0,1
NLP,tests\test_Problem8_NLP_To_Test.py,25,0,4,0,100.00%
,tests\test_Problem9_ChatGPT.py,18,0,0,0,1
,tests\test_Problem9_GeneratedSolution.py,30,0,0,0,1
NLP,tests\test_Problem9_NLP_To_Test.py,5,0,0,0,100.00%
,TOTAL,4249,111,587,13,0.97
